,F1-44-A7-51-7F-C4_timeDeltas,F1-44-A7-51-7F-C4_voltage4hzCal,F1-44-A7-51-7F-C4_averagePeaksMax,F1-44-A7-51-7F-C4_sldminAveragePeaksMax,F1-44-A7-51-7F-C4_smrtc2cAveragePeaksMax
0,3031.0,124.31698842927969,4.0,2.0,3.0
1,250.0,124.37332823381504,4.0,1.0,3.0
2,250.0,124.30032118862732,6.0,2.0,5.0
3,249.0,124.39308763985449,4.0,2.0,4.0
4,250.0,124.32855156370684,5.0,3.0,4.0
5,250.0,124.38971847212902,4.0,3.0,4.0
6,250.0,124.33501826800735,5.0,3.0,4.0
7,250.0,124.40817613878396,5.0,3.0,4.0
8,250.0,124.3736201699516,5.0,2.0,3.0
9,250.0,124.42005904636865,5.0,2.0,4.0
10,250.0,124.38465374712275,5.0,3.0,3.0
11,249.0,124.4158450543237,5.0,3.0,3.0
12,250.0,124.36271872049342,4.0,2.0,3.0
13,250.0,124.3920965462355,5.0,3.0,4.0
14,250.0,124.37889500733783,7.0,3.0,6.0
15,250.0,124.42036047626053,5.0,2.0,4.0
16,250.0,124.3968919029224,5.0,3.0,4.0
17,249.0,124.4000015258789,4.0,2.0,4.0
18,250.0,124.4000015258789,5.0,3.0,4.0
19,250.0,124.4000015258789,4.0,2.0,3.0
20,250.0,124.4000015258789,5.0,2.0,4.0
21,250.0,124.4000015258789,5.0,2.0,3.0
22,250.0,124.30000305175781,5.0,2.0,4.0
23,249.0,124.4000015258789,4.0,2.0,3.0
24,250.0,124.30000305175781,5.0,3.0,4.0
25,250.0,124.4000015258789,6.0,3.0,5.0
26,250.0,124.30000305175781,5.0,2.0,4.0
27,250.0,124.30000305175781,5.0,2.0,4.0
28,249.0,124.30000305175781,4.0,2.0,3.0
29,250.0,124.30000305175781,5.0,3.0,3.0
30,250.0,124.19999694824219,4.0,2.0,3.0
31,1099.0,124.19999694824219,4.0,2.0,3.0
32,250.0,124.30000305175781,5.0,1.0,4.0
33,250.0,124.30000305175781,6.0,2.0,4.0
34,250.0,124.30000305175781,5.0,2.0,4.0
35,249.0,124.19999694824219,5.0,3.0,4.0
36,250.0,124.30000305175781,4.0,1.0,3.0
37,250.0,124.30000305175781,4.0,1.0,3.0
38,250.0,124.30000305175781,5.0,2.0,3.0
39,250.0,124.30000305175781,7.0,3.0,6.0
40,250.0,124.30000305175781,5.0,2.0,3.0
41,249.0,124.30000305175781,5.0,3.0,4.0
42,250.0,124.30000305175781,5.0,3.0,4.0
43,250.0,124.30000305175781,4.0,2.0,3.0
44,250.0,124.30000305175781,4.0,3.0,4.0
45,250.0,124.30000305175781,4.0,2.0,4.0
46,249.0,124.30000305175781,4.0,3.0,3.0
47,250.0,124.30000305175781,5.0,2.0,4.0
48,250.0,124.30000305175781,4.0,2.0,3.0
49,250.0,124.30000305175781,5.0,3.0,4.0
50,250.0,124.30000305175781,4.0,2.0,3.0
51,249.0,124.30000305175781,5.0,3.0,4.0
52,250.0,124.30000305175781,5.0,2.0,4.0
53,250.0,124.30000305175781,4.0,2.0,4.0
54,250.0,124.30000305175781,4.0,2.0,4.0
55,250.0,124.30000305175781,4.0,3.0,4.0
56,250.0,124.30000305175781,5.0,2.0,4.0
57,249.0,124.30000305175781,4.0,2.0,4.0
58,250.0,124.30000305175781,4.0,3.0,4.0
59,7744.0,124.19999694824219,4.0,2.0,3.0
60,250.0,124.30000305175781,4.0,2.0,4.0
61,250.0,124.30000305175781,4.0,2.0,4.0
62,250.0,124.30000305175781,4.0,2.0,4.0
63,249.0,124.19999694824219,5.0,2.0,4.0
64,250.0,124.30000305175781,4.0,2.0,3.0
65,250.0,124.19999694824219,4.0,2.0,4.0
66,250.0,124.30000305175781,4.0,2.0,4.0
67,250.0,124.19999694824219,4.0,2.0,3.0
68,249.0,124.30000305175781,4.0,2.0,3.0
69,250.0,124.19999694824219,5.0,2.0,4.0
70,250.0,124.30000305175781,4.0,2.0,3.0
71,250.0,124.30000305175781,4.0,2.0,4.0
72,250.0,124.30000305175781,5.0,2.0,4.0
73,249.0,124.19999694824219,5.0,2.0,3.0
74,250.0,124.19999694824219,5.0,2.0,4.0
75,250.0,124.0999984741211,4.0,2.0,4.0
76,250.0,124.19999694824219,5.0,2.0,4.0
77,250.0,124.19999694824219,5.0,2.0,4.0
78,249.0,124.19999694824219,5.0,2.0,3.0
79,250.0,124.19999694824219,4.0,3.0,4.0
80,250.0,124.19999694824219,4.0,2.0,4.0
81,250.0,124.19999694824219,5.0,2.0,4.0
82,250.0,124.19999694824219,4.0,2.0,3.0
83,250.0,124.0999984741211,5.0,2.0,4.0
84,249.0,124.19999694824219,4.0,2.0,4.0
85,250.0,124.0999984741211,4.0,2.0,4.0
86,250.0,124.19999694824219,4.0,2.0,4.0
87,250.0,124.0999984741211,4.0,3.0,4.0
88,250.0,124.19999694824219,5.0,2.0,4.0
89,249.0,124.19999694824219,5.0,2.0,4.0
90,250.0,124.19999694824219,5.0,2.0,4.0
91,250.0,124.0999984741211,5.0,3.0,4.0
92,250.0,124.19999694824219,4.0,2.0,4.0
93,250.0,124.0999984741211,4.0,2.0,4.0
94,250.0,124.19999694824219,4.0,3.0,3.0
95,249.0,124.19999694824219,6.0,3.0,4.0
96,250.0,124.19999694824219,4.0,2.0,4.0
97,250.0,124.19999694824219,4.0,2.0,4.0
98,250.0,124.19999694824219,4.0,3.0,4.0
99,250.0,124.19999694824219,5.0,2.0,4.0
100,249.0,124.19999694824219,4.0,2.0,4.0
101,250.0,124.19999694824219,5.0,2.0,4.0
102,250.0,124.19999694824219,4.0,2.0,4.0
